deviceid,lat,lng,mapid,scale,start,end,duration
100,0.240773890713684,-0.237150051254272,actlab,27,1492588246664,1492588261883,15219
100,0.209830522672815,-0.259748697369054,actlab,27,1492588261883,1492588265986,4103
100,0.189221887393894,-0.228901023189272,actlab,27,1492588265986,1492588279446,13460
100,0.190909284911015,-0.188550406799928,actlab,27,1492588279446,1492588287645,8199
100,0.198175831562088,-0.228209822053999,actlab,27,1492588287645,1492588293497,5852
100,0.214877415676267,-0.188021005222579,actlab,27,1492588293497,1492588302869,9372
100,0.217393004522398,-0.226552264450151,actlab,27,1492588302869,1492588341551,38682
100,0.192468894225635,-0.259090118615779,actlab,27,1492588341551,1492588346236,4685
100,0.218527771376808,-0.230501654046399,actlab,27,1492588346236,1492588371425,25189
100,0.186917310234458,-0.256325840708735,actlab,27,1492588371425,1492588394847,23422
100,0.2175020319286,-0.230526493258234,actlab,27,1492588394847,1492588417692,22845
100,0.20213157989413,-0.266136412207847,actlab,27,1492588417692,1492588444589,26897
100,0.228354827550602,-0.238699106467049,actlab,27,1492588444589,1492588451024,6435
100,0.227108734535668,-0.201165633315146,actlab,27,1492588451024,1492588466237,15213
100,0.211371788118889,-0.247315756053522,actlab,27,1492588466237,1492588514220,47983
100,0.214745676618358,-0.209268741369452,actlab,27,1492588514220,1492588524181,9961
100,0.221431941893844,-0.248057624244824,actlab,27,1492588524181,1492588552868,28687
100,0.226460303686718,-0.204308439533967,actlab,27,1492588552868,1492588568086,15218
100,0.207440587506034,-0.241456648694537,actlab,27,1492588568086,1492588586830,18744
100,0.224093446019196,-0.205281939819072,actlab,27,1492588586830,1492588589764,2934
100,0.198475078567166,-0.233362277177336,actlab,27,1492588589764,1492588603237,13473
100,0.235470345148257,-0.236345882357497,actlab,27,1492588603237,1492588609104,5867
100,0.204438497308604,-0.257754542454431,actlab,27,1492588609104,1492588613201,4097
100,0.224992563544752,-0.223333594490493,actlab,27,1492588613201,1492588624909,11708
100,0.237950495218372,-0.258855686614601,actlab,27,1492588624909,1492588638948,14039
100,0.229889243293452,-0.215724689430915,actlab,27,1492588638948,1492588647723,8775
100,0.207872974676668,-0.250819772304549,actlab,27,1492588647723,1492588696308,48585
100,0.212731588170961,-0.211040108476001,actlab,27,1492588696308,1492588726796,30488
100,0.188952844713371,-0.240956173266135,actlab,27,1492588726796,1492588738508,11712
100,0.216602059545451,-0.215310437322824,actlab,27,1492588738508,1492588753174,14666
100,0.204293062142344,-0.253358965521349,actlab,27,1492588753174,1492588807887,54713
100,0.220908214898575,-0.218636455876398,actlab,27,1492588807887,1492588827913,20026
100,0.221841864996725,-0.255770561997705,actlab,27,1492588827913,1492588861923,34010
100,0.206015931208697,-0.217301294321264,actlab,27,1492588861923,1492588880053,18130
100,0.216152242431842,-0.256547491841221,actlab,27,1492588880053,1492588901686,21633
100,0.199411265026074,-0.217514291861696,actlab,27,1492588901686,1492588913373,11687
100,0.218027306272147,-0.249659616793239,actlab,27,1492588913373,1492588990008,76635
100,0.213653257778011,-0.208202689532131,actlab,27,1492588990008,1492588994102,4094
100,0.2107897158016,-0.245694948287508,actlab,27,1492588994102,1492589045597,51495
100,0.228942367695542,-0.210476634181223,actlab,27,1492589045597,1492589060812,15215
100,0.220526531210321,-0.24713715983648,actlab,27,1492589060812,1492589085413,24601
100,0.22987121208022,-0.206643927900987,actlab,27,1492589085413,1492589088341,2928
100,0.215099243172772,-0.241674527352521,actlab,27,1492589088341,1492589093602,5261
100,0.231788482968138,-0.204912712517485,actlab,27,1492589093602,1492589102977,9375
100,0.206409358477901,-0.232681109972652,actlab,27,1492589102977,1492589115255,12278
