checkpoints, longtitude, latitude, startTime, endTime
1, 16.625, 5.65625, 2017-06-21 12:50:53, 2017-06-21 12:52:06
2, 15.25, 7.40625, 2017-06-21 12:52:38, 2017-06-21 12:52:53
3, 14.21875, 8.28125, 2017-06-21 12:53:14, 2017-06-21 12:53:31
4, 12.03125, 8.1875, 2017-06-21 12:54:08, 2017-06-21 12:54:20
5, 9.5, 8.0625, 2017-06-21 12:55:00, 2017-06-21 12:55:12
6, 9.25, 5.59375, 2017-06-21 12:55:36, 2017-06-21 12:55:48
7, 11.0625, 5.59375, 2017-06-21 12:56:02, 2017-06-21 12:56:16
8, 13.25, 5.5625, 2017-06-21 12:56:47, 2017-06-21 12:56:56
9, 15, 5.65625, 2017-06-21 12:57:15, 2017-06-21 12:57:27
10, 15.03125, 3.84375, 2017-06-21 12:57:42, 2017-06-21 12:57:56
11, 13.4375, 3.8125, 2017-06-21 12:58:10, 2017-06-21 12:58:30
12, 11.25, 3.71875, 2017-06-21 12:58:45, 2017-06-21 12:59:00
13, 9.21875, 3.78125, 2017-06-21 12:59:22, 2017-06-21 12:59:40
14, 9.28125, 2.15625, 2017-06-21 13:00:18, 2017-06-21 13:00:24
15, 11.53125, 2.15625, 2017-06-21 13:01:06, 2017-06-21 13:01:17
16, 13.875, 2.125, 2017-06-21 13:02:02, 2017-06-21 13:02:14
17, 15.21875, 2.625, 2017-06-21 13:02:36, 2017-06-21 13:02:46
18, 16.6875, 3.375, 2017-06-21 13:03:13, 2017-06-21 13:03:27
19, 16.75, 1.65625, 2017-06-21 13:03:45, 2017-06-21 13:04:00
20, 15.15625, -0.3125, 2017-06-21 13:04:51, 2017-06-21 13:05:02
21, 10.84375, -0.15625, 2017-06-21 13:05:29, 2017-06-21 13:05:44
22, 7.96875, -0.125, 2017-06-21 13:06:11, 2017-06-21 13:06:21
23, 4.3125, -0.15625, 2017-06-21 13:08:25, 2017-06-21 13:08:32
24, 5.28125, 1.8125, 2017-06-21 13:09:01, 2017-06-21 13:09:12
25, 5.28125, 4.15625, 2017-06-21 13:09:58, 2017-06-21 13:10:10
26, 5.21875, 6.65625, 2017-06-21 13:10:54, 2017-06-21 13:11:06
27, 3.0625, 6.59375, 2017-06-21 13:11:22, 2017-06-21 13:11:31
28, 3.0625, 4.0625, 2017-06-21 13:11:46, 2017-06-21 13:11:55
29, 3.0625, 2, 2017-06-21 13:12:17, 2017-06-21 13:12:28
30, 0.65625, 6.5, 2017-06-21 13:13:24, 2017-06-21 13:13:36
31, 0.6875, 3.9375, 2017-06-21 13:14:26, 2017-06-21 13:14:39
32, 0.6875, 1.53125, 2017-06-21 13:15:24, 2017-06-21 13:15:37
33, 1.6875, -0.21875, 2017-06-21 13:16:10, 2017-06-21 13:16:19
