Device, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 200, 201, 405, 777, 888, 999
100, NA, 271.444, Empty, 0.674, 0.651, 1.859, Empty, Empty, 141.885, 267.88, 7.507, 1.378, 0.763, 3.885, 251.447, 316.13, 1.529, Empty, 193.262, 94.091, Empty, 55.087, 1.086, 1.455, 0.295, 52.894, 8.359, 1.354, Empty, 4.19, 0.406, Empty, Empty, 72.285, 0.002
101, 271.444, NA, 414.028, 7.45, 28.514, Empty, 615.21, 165.413, 14.266, 78.89, 91.579, 61.389, 30.744, 74.879, Empty, 38.632, Empty, Empty, 153.981, 5.36, 1.946, 17.977, 2.909, 3.76, 0.177, 14.46, 8.959, Empty, 1.246, Empty, Empty, 20.322, 0.391, Empty, 0.002
102, 37.112, 414.028, NA, 88.538, 328.921, Empty, Empty, 52.846, 70.297, 77.248, 395.472, 416.679, 256.993, 269.959, Empty, 8.69, Empty, Empty, 222.633, 7.136, Empty, 55.511, 4.023, 23.294, 0.152, 23.59, 14.887, Empty, 0.903, Empty, Empty, 28.807, 0.627, Empty, 0.002
103, 0.674, Empty, 88.538, NA, Empty, 332.759, 1.164, 0.504, Empty, Empty, 12.325, 78.696, Empty, Empty, 3.057, 0.54, 2.819, 2.972, 3.475, Empty, 0.521, 0.499, 0.37, Empty, 0.121, Empty, 0.596, 0.407, 0.415, 0.018, 0.001, 0.466, 0.624, 3.103, 0.002
104, 0.651, 28.514, 328.921, 337.078, NA, Empty, Empty, 0.839, 1.71, 1.347, 302.118, 623.705, 720.709, 202.071, Empty, 0.555, Empty, Empty, 66.622, 1.299, Empty, 16.421, 1.121, 2.666, 0.13, 15.408, 38.825, Empty, 0.533, Empty, Empty, 5.541, 0.43, Empty, 0.001
105, 1.859, Empty, 645.051, Empty, Empty, NA, 29.677, 10.186, Empty, Empty, 356.644, 421.717, Empty, Empty, 111.796, Empty, 47.742, 6.645, 58.134, Empty, 1.958, 16.901, 1.373, Empty, 0.141, Empty, 75.062, 2.213, 0.681, 0.72, 0.027, 11.877, 0.989, 7.809, 0.002
106, 221.912, 615.21, 224.074, 1.164, 2.392, Empty, NA, 220.606, 25.703, 86.369, 34.898, 16.982, 3.314, 9.913, Empty, 113.239, Empty, Empty, 76.156, 18.67, 5.891, 24.356, 7.357, 6.303, 2.103, 19.715, 10.771, Empty, Empty, Empty, Empty, 16.775, 0.207, Empty, 0.141
107, Empty, 165.413, Empty, 0.504, 0.839, 10.186, Empty, NA, 293.541, 389.175, 38.799, 9.181, 1.164, 31.654, 344.958, 530.636, 14.343, 79.235, 231.137, 266.934, Empty, 131.549, 16.501, 7.948, 7.874, 194.742, 77.545, 1.705, Empty, 12.079, 63.089, Empty, Empty, 9.737, 0.003
108, Empty, 14.266, Empty, 0.603, 1.71, 67.743, Empty, Empty, NA, 548.827, 56.802, 66.882, 2.372, 100.956, 348.928, 357.94, 58.183, 207.732, 286.837, 650.302, Empty, 309.39, 65.898, 80.726, 43.341, 559.551, 454.994, 12.58, Empty, 3.382, 114.731, Empty, Empty, 6.347, 0.002
109, 267.88, 78.89, 77.248, 1.05, 1.347, Empty, 86.369, 389.175, 548.827, NA, 59.996, 5.995, 2.708, 58.143, Empty, 506.412, Empty, Empty, 368.447, 554.781, 158.551, 368.216, 99.669, 98.241, 33.877, 343.714, 256.168, Empty, 5.333, Empty, Empty, 85.699, 0.004, Empty, 0.002
