Checkpoint, ErrorDistance
1, 2.1518332013473493
2, 3.9119174210375585
3, 2.810454780663627
4, 2.1310926284509173
5, 1.4919149194800965
6, Not applicable
7, 3.071213327803776
8, 2.830418188763396
9, 5.529890905010228
10, 0.3171624835682578
11, 1.0368360397484184
12, 4.134294517593064
13, 3.057100059334312
14, 1.9212945386078337
15, 3.734765367719453
16, 0.8001535093920484
17, Not applicable
18, 1.6617722812644347
19, 2.0674307261983396
20, 2.779651086666128
21, 1.5495679618758642
22, 3.417702814240514
23, 2.2720892656076996
24, Not applicable
25, 0.9247513614028965
26, 0.5736863269162252
27, 1.279223818115534
28, 1.6751730427086216
29, Not applicable
30, Not applicable
31, 1.3744637728362208
32, 2.327695310559839
33, 3.0749989069150034
