Checkpoint, Longtitude, Latitude, Mean Error, Variance Error
1,  16.625,  5.65625, 2.252381553801548, 3.718602603560685
10,  15.03125,  3.84375, 4.3426399872251595, 2.7244492503711757
11,  13.4375,  3.8125, 4.454208954603545, 2.5792094862402606
12,  11.25,  3.71875, 3.0963501047830584, 2.8295627051241494
13,  9.21875,  3.78125, 4.385076987078892, 2.666334954622336
14,  9.28125,  2.15625, No Mean, No Variance
15,  11.53125,  2.15625, 1.8562309400707964, 3.1127580971574003
16,  13.875,  2.125, 2.2945117793947407, 3.255041517782844
17,  15.21875,  2.625, 3.650023229974729, 2.8858109007999624
18,  16.6875,  3.375, 2.88740426823723, 3.8626072216946437
19,  16.75,  1.65625, 4.763678272828964, 3.6349607331566443
2,  15.25,  7.40625, 4.373187411351623, 2.8645827537033384
20,  15.15625,  -0.3125, 5.9618834733666, 3.125337944536871
21,  10.84375,  -0.15625, 4.5307612840525575, 3.1368899865290136
22,  7.96875,  -0.125, 8.692750495496224, 3.511841336361099
23,  4.3125,  -0.15625, 10.46290413018428, 3.4693127370362467
24,  5.28125,  1.8125, No Mean, No Variance
25,  5.28125,  4.15625, 12.563975246068404, 3.369664088916856
26,  5.21875,  6.65625, 13.533223581191917, 3.4632948227782707
27,  3.0625,  6.59375, 14.141723667871101, 3.8968905087369445
28,  3.0625,  4.0625, 7.453069896486869, 1.9257183317724558
29,  3.0625,  2, 4.652740146982808, 1.6256207903020994
3,  14.21875,  8.28125, 11.954438391850273, 2.0656377575387936
30,  0.65625,  6.5, No Mean, No Variance
31,  0.6875,  3.9375, 6.017872097252137, 2.647335050584089
32,  0.6875,  1.53125, 7.279618595577944, 3.040431490476207
33,  1.6875,  -0.21875, 6.669852488706056, 2.8413100428787215
4,  12.03125,  8.1875, 10.096454237402455, 1.3507176720515683
5,  9.5,  8.0625, No Mean, No Variance
6,  9.25,  5.59375, No Mean, No Variance
7,  11.0625,  5.59375, 10.595014148657393, 1.978158615228322
8,  13.25,  5.5625, 12.543827506280348, 2.296555802757479
8,  13.25,  5.5625, 12.39408574427986, 2.4989515791720214
